junction,betweenness,degree_centrality,eigenvector,degree,latitude,longitude,event_count,corridor,betweenness_norm,degree_centrality_norm,eigenvector_norm
nrsquarejunc,0.056825,0.023891,0.0,7,12.965364600000001,77.58665020000001,10,mysore road,0.43067513490571757,0.8571428571428572,0.0
ngvreargatejunc,0.056318,0.013652,0.0,4,12.9424581,77.62256595,2,non-corridor,0.42683259564663795,0.4285714285714286,0.0
millcornerrd-sampigerdjunc,0.056318,0.013652,0.0,4,12.9920652,77.5714241,9,non-corridor,0.42683259564663795,0.4285714285714286,0.0
shivandacircle,0.056079,0.013652,0.0,4,12.987941450000001,77.57971505,12,non-corridor,0.4250212211241132,0.4285714285714286,0.0
anjaneyatemplejunc,0.055603,0.013652,0.0,4,12.9814749,77.6310739,3,old madras road,0.421413630024859,0.4285714285714286,0.0
sagarhospitaljunc,0.055483,0.013652,0.0,4,12.9289166,77.6003272,5,bannerghata road,0.42050415327714785,0.4285714285714286,0.0
goruguntepalyajunc,0.054967,0.013652,0.0,4,13.0291663,77.5402194,20,tumkur road,0.41659340326198996,0.4285714285714286,0.0
sattelitebusstandjunc,0.054364,0.013652,0.0,4,12.953795,77.5433473,43,mysore road,0.4120232826047414,0.4285714285714286,0.0
cilcrossjunction-jayamahalrd,0.054123,0.013652,0.0,4,13.00954035,77.5914761,4,non-corridor,0.4101967501364215,0.4285714285714286,0.0
adugodijunc,0.053271,0.017065,0.0,5,12.942809950000001,77.60780145000001,2,hosur road,0.40373946522767235,0.5714285714285715,0.0
jaimuniraocircle,0.052712,0.023891,0.0,7,12.9782935,77.54393771,5,magadi road,0.39950281937791793,0.8571428571428572,0.0
basappacirclejunction,0.052551,0.017065,0.0,5,12.9567016,77.5771049,3,non-corridor,0.3982826047414054,0.5714285714285715,0.0
indianexpressjunction,0.052523,0.013652,0.0,4,12.983800800000001,77.5970206,16,cbd 2,0.39807039350027285,0.4285714285714286,0.0
minervacircle,0.052282,0.017065,0.0,5,12.9549542,77.58042775,2,non-corridor,0.39624386103195297,0.5714285714285715,0.0
hennurrd-davisrdjunction,0.051783,0.017065,0.0,5,13.0034745,77.61968747,5,airport new south road,0.39246195355605407,0.5714285714285715,0.0
linkroadmalleswaramjunc,0.051008,0.013652,0.0,4,12.9928507,77.574254,3,non-corridor,0.38658824956041954,0.4285714285714286,0.0
prasannajunction,0.049976,0.020478,0.0,6,12.975644509999999,77.55302895,6,magadi road,0.37876674953010364,0.7142857142857143,0.0
hennurroad-orrjunc,0.049846,0.020478,0.0,6,13.0289016,77.6315961,17,airport new south road,0.3777814830534166,0.7142857142857143,0.0
margosard-18thcrossjunc,0.049804,0.017065,0.0,5,13.01148005,77.56936250000001,6,non-corridor,0.3774631661917177,0.5714285714285715,0.0
bhashyamcircle,0.049384,0.017065,0.0,5,12.9849653,77.5547537,3,non-corridor,0.37427999757472863,0.5714285714285715,0.0
jayadevahospitaljunc,0.049247,0.013652,0.0,4,12.916086100000001,77.59999110000001,8,bannerghata road,0.3732416782877584,0.4285714285714286,0.0
banashankaribusstandjunc,0.049127,0.013652,0.0,4,12.91712353,77.5735724,13,non-corridor,0.37233220154004726,0.4285714285714286,0.0
silkboardjunc,0.048784,0.017065,0.0,5,12.9166927,77.6232459,33,orr east 1,0.3697326138361729,0.5714285714285715,0.0
batrayanapura(amrutahalli)junction,0.04841,0.017065,0.0,5,13.067379899999999,77.59301121,14,bellary road 2,0.36689807797247315,0.5714285714285715,0.0
marenahallird-18thmainrdjunc,0.048408,0.017065,0.0,5,12.9186031,77.58915404999999,2,non-corridor,0.36688292002667794,0.5714285714285715,0.0
policecornerjunc,0.048238,0.017065,0.0,5,12.9680852,77.58720729999999,26,mysore road,0.3655944946340872,0.5714285714285715,0.0
rajajinagar19thmainjunc,0.048048,0.020478,0.0,6,12.9977769,77.55125585,6,west of chord road,0.36415448978354453,0.7142857142857143,0.0
royancircle-chamrajpete,0.047928,0.020478,0.0,6,12.9624886,77.5656329,1,mysore road,0.36324501303583334,0.7142857142857143,0.0
sadashivnagarjunc,0.047765,0.020478,0.0,6,13.0146372,77.572703,13,non-corridor,0.36200964045352574,0.7142857142857143,0.0
oldmadrasrd-indranagar100ftrdjunc,0.04767,0.023891,0.0,7,12.9841487,77.6411007,12,old madras road,0.36128963802825437,0.8571428571428572,0.0
statebankofmysorejunc,0.047653,0.013652,0.0,4,12.973564849999999,77.58229739999999,12,non-corridor,0.3611607954889953,0.4285714285714286,0.0
lrdejunction,0.046844,0.017065,0.0,5,12.9874171,77.5878455,9,bellary road 1,0.3550294064148426,0.5714285714285715,0.0
geetacircle,0.046027,0.020478,0.0,6,12.9285748,77.5861157,1,non-corridor,0.3488373855575092,0.7142857142857143,0.0
khroad-siddaiahrdjunc(bmtc-bigbazaar),0.045983,0.013652,0.0,4,12.95269135,77.5909027,6,non-corridor,0.3485039107500152,0.4285714285714286,0.0
subbannajunction,0.044658,0.017065,0.0,5,12.98324679,77.5768463,9,non-corridor,0.33846177166070457,0.5714285714285715,0.0
krmarketjunction,0.04464,0.013652,0.0,4,12.9636022,77.5779542,7,mysore road,0.33832535014854787,0.4285714285714286,0.0
kimcojunction,0.044486,0.017065,0.0,5,12.9514517,77.5373979,31,west of chord road,0.33715818832231853,0.5714285714285715,0.0
arts&craftscircle,0.043798,0.023891,0.0,7,12.9753296,77.6073261,2,old madras road,0.3319438549687746,0.8571428571428572,0.0
purnimatheaterjunc,0.043682,0.023891,0.0,7,12.96045045,77.5875364,8,non-corridor,0.3310646941126538,0.8571428571428572,0.0
rrr(okalipuram)junction,0.043127,0.017065,0.0,5,12.982502199999999,77.56798025,6,non-corridor,0.32685836415448977,0.5714285714285715,0.0
kadirenahallijunction,0.042714,0.013652,0.0,4,12.9157951,77.56518925,8,orr west 1,0.3237282483477839,0.4285714285714286,0.0
